0,Content,对华情感预测,私人情感预测
" 军事,china cyber attack,Zac_author_viking,f,en,only  2 countries who would attack united states and china at the same time .With cyber attacks  which is  IRAN AND NORTH KOREA. so the massive outage is probably  a cyber attack. #CNN", 军事china cyber attackzac_author_vikingfenonly   countries who would attack united states and china at the same time with cyber attacks  which is  iran and north korea so the massive outage is probably  a cyber attack cnn,1,2
" 军事,china cyber attack,Shalabh kapoor,f,en,The only country which is not in the list of cyber attack in which occurs IN @Microsoft is CHINA… Think  ! Think ! Think !! @majorgauravarya  @vaibhavUP65", 军事china cyber attackshalabh kapoorfenthe only country which is not in the list of cyber attack in which occurs in microsoft is china think   think  think  majorgauravarya  vaibhavup,1,2
" 军事,china cyber attack,concernedukpatriot,f,en,Anyone else thinking this disruption is a full on cyber attack coming from Russia or China or probably both time to get tough on these 2 countries", 军事china cyber attackconcernedukpatriotfenanyone else thinking this disruption is a full on cyber attack coming from russia or china or probably both time to get tough on these  countries,0,0
" 军事,china cyber attack,Mohammed Sekouty,f,en,Who’s standing behind this massive cyber attack on Microsoft Windows?! #Russia  #China  #Iran  #Microsoft  #Windows  #bluescreen", 军事china cyber attackmohammed sekoutyfenwhos standing behind this massive cyber attack on microsoft windows russia  china  iran  microsoft  windows  bluescreen,1,0
" 军事,china cyber attack,Ed, Not Phil,f,en,There’s a conspiracy theorist out there right now that believes this is a cyber attack from China", 军事china cyber attacked not philfentheres a conspiracy theorist out there right now that believes this is a cyber attack from china,2,2
" 军事,china cyber attack,TopicalJohn,f,en,Klaus got his cyber attack which will get blamed on China or Russia. Which it can't be China as a company am at, their systems are down too.", 军事china cyber attacktopicaljohnfenklaus got his cyber attack which will get blamed on china or russia which it cant be china as a company am at their systems are down too,0,0
" 军事,china cyber attack,Jhayes24,f,en,Looks like a cyber attack from China once again. All the stations are down.", 军事china cyber attackjhayesfenlooks like a cyber attack from china once again all the stations are down,0,1
" 军事,china jets,Erle Frayne Argonza,t,en,China's Hypersonic Missiles: Can destroy all US Aircraft carriers, Fighter jets and UA Navy in Asia within 24 hours! No, USA got nothing to neutralized these.", 军事china jetserle frayne argonzatenchinas hypersonic missiles can destroy all us aircraft carriers fighter jets and ua navy in asia within  hours no usa got nothing to neutralized these,1,0
" 军事,china jets,Chibi Loyal Original,t,en,#Russia and #China entering into #SouthKorea air zone!  Can anyone share what are China and Russia intent??  South Korea scrambles jets as Chinese, Russian warplanes approach", 军事china jetschibi loyal originaltenrussia and china entering into southkorea air zone  can anyone share what are china and russia intent  south korea scrambles jets as chinese russian warplanes approach,2,2
" 军事,china jets,கருடாழ்வான்,f,en,US will send warships and China will send fighter jets for them. Not out of love for Kanglus, but out of fear of and hate against India's rise. 军事,china jets,Hindutva Knight,f,en,57 islamic countries didn't come to help palestine and these 5 footiyas Kanglus with slum capital think US will send Warships and China will send Fighter Jets for them ", 军事china jetsகரடழவனfenus will send warships and china will send fighter jets for them not out of love for kanglus but out of fear of and hate against indias rise 军事china jetshindutva knightfen islamic countries didnt come to help palestine and these  footiyas kanglus with slum capital think us will send warships and china will send fighter jets for them ,2,0
" 军事,china jets,Steven W. Moore,t,en,There are now 160,000 U.S. troops inside China. U.S. F-16 fighter jets are overhead China bombing their business structures.", 军事china jetssteven w mooretenthere are now  us troops inside china us f fighter jets are overhead china bombing their business structures,1,1
" 军事,china jets,Chillton,t,en,Russia and China trying to flex drones over jets doesn't make me fear drones, but only affirms my belief that those two countries have about 50 working jets between them both 军事,china jets,DrElvinMammadov,t,en,Our air force stronger now with JF-17 Block III jets from Pakistan and China! This not just about military, it makes region more stable. Thank you for support! Proud of our partnerships!", 军事china jetschilltontenrussia and china trying to flex drones over jets doesnt make me fear drones but only affirms my belief that those two countries have about  working jets between them both 军事china jetsdrelvinmammadovtenour air force stronger now with jf block iii jets from pakistan and china this not just about military it makes region more stable thank you for support proud of our partnerships,0,0
" 军事,china jets,Shepard of Knowledge,t,en,I’ll leave this here.  Sounds like China wants us to stop our fighter jets.", 军事china jetsshepard of knowledgetenill leave this here  sounds like china wants us to stop our fighter jets,1,1
" 军事,china jets,Murtaza siyal,f,en,Against India, China has an important role in strengthening the Pakistani Air Force; The technology of fighter jets, drones, missiles, radars, jammers", 军事china jetsmurtaza siyalfenagainst india china has an important role in strengthening the pakistani air force the technology of fighter jets drones missiles radars jammers,0,0
" 军事,china jets,Generous Voyager,t,en,Gore, Kerry, et al will continue to fly private jets to Fool's parades wherein China, Russia, India, &amp; Brazil get a free pass The last 'great' Ponzi scheme", 军事china jetsgenerous voyagertengore kerry et al will continue to fly private jets to fools parades wherein china russia india amp brazil get a free pass the last great ponzi scheme,0,0
" 军事,china jets,Pitchmedia,f,en,China unveils stealth jets to rival US Air Force's F-22 and F-35 fighters", 军事china jetspitchmediafenchina unveils stealth jets to rival us air forces f and f fighters,1,1
" 军事,china jets,Dastan. W,f,en,Hizbullah needs to have fighter jets and air defense system  They can get Pakistan made JF-17 Thunder  Or China made j-10 To deter Israel", 军事china jetsdastan wfenhizbullah needs to have fighter jets and air defense system  they can get pakistan made jf thunder  or china made j to deter israel,1,1
" 军事,china jets,,f,en,Elon musk is one of those China and Russia double agent... F-35 and man NGAD Jets will outlast him.", 军事china jetsfenelon musk is one of those china and russia double agent f and man ngad jets will outlast him,1,1
" 军事,china jets,Ganso,t,en,Who’s gonna tell him China has spent the past decade + building manned stealth fighter jets using stolen American stealth technology secrets", 军事china jetsgansotenwhos gonna tell him china has spent the past decade  building manned stealth fighter jets using stolen american stealth technology secrets,1,0
" 军事,china jets,OTIENO,t,en,China's unmanned swarm of aerial warfare drones unveiled, showcasing advanced technology with capabilities akin to fighter jets.", 军事china jetsotienotenchinas unmanned swarm of aerial warfare drones unveiled showcasing advanced technology with capabilities akin to fighter jets,2,0
" 军事,china jets,Peter,t,en,What an absolute farce. The climate scam in full swing, wealthy countries paying tin pot dictators to buy government jets whilst China laughs at us from the sidelines.", 军事china jetspetertenwhat an absolute farce the climate scam in full swing wealthy countries paying tin pot dictators to buy government jets whilst china laughs at us from the sidelines,0,0
" 军事,china jets,Supernova,t,en,Problem here is the US and mostly the UK think they are only going to fight Russia  do you think North Korea and China only helped them build advanced fighter jets? Those ICBMs were definite trojans", 军事china jetssupernovatenproblem here is the us and mostly the uk think they are only going to fight russia  do you think north korea and china only helped them build advanced fighter jets those icbms were definite trojans,1,2
" 军事,china jets,kamran,f,en,Depend upon the USA, because Jinnah SAB had taken Pakistan to help us against China and the USSR. Therefore, soon after freedom USA gave us some f .86 jets along with some of the USA-made weapons", 军事china jetskamranfendepend upon the usa because jinnah sab had taken pakistan to help us against china and the ussr therefore soon after freedom usa gave us some f  jets along with some of the usamade weapons,1,1
" 军事,china jets,Nick(Redskin Fan),t,en,Okay, safe to say the terminator robots and where AI will enter its rampancy mode will be in China and not cause of Elon.", 军事china jetsnickredskin fantenokay safe to say the terminator robots and where ai will enter its rampancy mode will be in china and not cause of elon,2,0
" 军事,china jets,Ninoslav Šafarić,f,en,I'm joking, Biden will see strike on Moscow from Air Force One if attack first, and will have nice view of USA burning, then Russia or China will send jets to finish USA.", 军事china jetsninoslav šafarićfenim joking biden will see strike on moscow from air force one if attack first and will have nice view of usa burning then russia or china will send jets to finish usa,2,0
" 军事,china jets,Eric Hawkins,f,en,Anybody concerned with the direction of Chinese military  China unveils ‘swarm carrier’ drone with payload comparable to fighter jets", 军事china jetseric hawkinsfenanybody concerned with the direction of chinese military  china unveils swarm carrier drone with payload comparable to fighter jets,0,0
" 军事,china jets,Ethan,f,en,These nerds panic and make me drink out of a shitty paper straw while China and India dont give a fuck and their favorite singers are flying all over the world in private jets.", 军事china jetsethanfenthese nerds panic and make me drink out of a shitty paper straw while china and india dont give a fuck and their favorite singers are flying all over the world in private jets,0,2
" 军事,china jets,V. M.,f,en,See the fighter jets, attack drones, and other high-tech military aircraft at China's largest airshow", 军事china jetsv mfensee the fighter jets attack drones and other hightech military aircraft at chinas largest airshow,2,0
" 军事,china jets,Jason Birch,f,en,China's premier air show wows spectators - but the West won't have liked seeing Russia's jets - Sky News", 军事china jetsjason birchfenchinas premier air show wows spectators  but the west wont have liked seeing russias jets  sky news,0,1
" 军事,china jets,,f,en,Send the jets to china this is pitiful whole roster has so much talent yet they suck", 军事china jetsfensend the jets to china this is pitiful whole roster has so much talent yet they suck,1,2
" 军事,china jets,TRACY IZSAK,f,en,Generally piolets here of the number of jets in China and Russia ready to go to war!  The number is very scary to them . They have to shoot them down one by one !", 军事china jetstracy izsakfengenerally piolets here of the number of jets in china and russia ready to go to war  the number is very scary to them  they have to shoot them down one by one ,1,0
" 军事,china jets,Amanda,f,en,Great to soo how well cop29 went this week, 400 private jets and America, India and china didn’t attend. So 29 yrs and they’ve not worked out how to get to net zero!", 军事china jetsamandafengreat to soo how well cop went this week  private jets and america india and china didnt attend so  yrs and theyve not worked out how to get to net zero,1,2
" 军事,china jets,Global Defense Agency,t,en,J-15T and J-15D carrier-borne multirole fighter jets of China's People Liberation Army Navy (PLAN). #ZhuhaiAirShow2024 #AirshowChina2024", 军事china jetsglobal defense agencytenjt and jd carrierborne multirole fighter jets of chinas people liberation army navy plan zhuhaiairshow airshowchina,1,1
" 军事,china jets,India.com,t,en,Big worry for US, India as China develops radar capable of tracking deadly fighter jets F-22 and F-35 #USA #India #China #AirshowChina2024 #ZhuhaiAirShow2024", 军事china jetsindiacomtenbig worry for us india as china develops radar capable of tracking deadly fighter jets f and f usa india china airshowchina zhuhaiairshow,1,1
" 军事,china jets,Rudolf Hájek,f,en,China and Russia’s Strongest Fighter Jets Share the Stage in Airshow China Flight Performance", 军事china jetsrudolf hájekfenchina and russias strongest fighter jets share the stage in airshow china flight performance,2,2
" 军事,china jets,Eureka,t,en,The #Airshow in #Zhuhai is in full swing! Stealth fighter jets from #China and #Russia stage performance during the event.", 军事china jetseurekatenthe airshow in zhuhai is in full swing stealth fighter jets from china and russia stage performance during the event,0,0
" 军事,china jets,dandelousx,f,en,china making anime fighter jets in real life. i wonder if it is a paper tiger or the real deal", 军事china jetsdandelousxfenchina making anime fighter jets in real life i wonder if it is a paper tiger or the real deal,2,2
" 军事,china jets,REGION NEWS,f,en,#Upcoming news: #China Hypersonic missile has capability to destroy all #US fighter jets, Aircraft carries,across middle east in 24hours,", 军事china jetsregion newsfenupcoming news china hypersonic missile has capability to destroy all us fighter jets aircraft carriesacross middle east in hours,1,1
" 军事,china jets,苏苏 (互Fo),f,en,When it comes to a comparison between the fifth-generation fighter jets of China and the United States, which one do you like? Is it the single-engine one or the twin-engine one? #followback", 军事china jets苏苏 互fofenwhen it comes to a comparison between the fifthgeneration fighter jets of china and the united states which one do you like is it the singleengine one or the twinengine one followback,2,2
" 军事,china jets,Jets_Mets,t,en,Again it doesn’t matter what the rest of the world does if India and China don’t help get pollution under control.", 军事china jetsjets_metstenagain it doesnt matter what the rest of the world does if india and china dont help get pollution under control,1,0
" 军事,china jets,3dmetalbroadkast,t,en,#china allegedly has HYPERSONIC MISSILES weaponry to destroy all #usa aircraft carriers, fighter Jets, &amp; USA navy in Asia within 24 hours", 军事china jetsdmetalbroadkasttenchina allegedly has hypersonic missiles weaponry to destroy all usa aircraft carriers fighter jets amp usa navy in asia within  hours,1,0
" 军事,china jets,rsr,f,en,China is about to launch its 6 generation fighter jets   It's incredible", 军事china jetsrsrfenchina is about to launch its  generation fighter jets   its incredible,1,1
" 军事,china jets,Kev,t,en,China literally pacing the world at everything fruit jets to plastic spoons", 军事china jetskevtenchina literally pacing the world at everything fruit jets to plastic spoons,1,0
" 军事,china jets,Defence Blog,f,en,Egypt to replace F-16s with China’s fighter jets", 军事china jetsdefence blogfenegypt to replace fs with chinas fighter jets,2,0
" 军事,china jets,दलित समाज यूनियन,f,en,Half pakistani name holder: shall we buy jets from China?", 军事china jetsदलत समज यनयनfenhalf pakistani name holder shall we buy jets from china,0,2
" 军事,china jets,Ingvald,f,en,With Jets and Ships, China Is Honing Its Ability to Choke Taiwan", 军事china jetsingvaldfenwith jets and ships china is honing its ability to choke taiwan,2,2
" 军事,china jets,Michael Dunn 1,f,en,crazy people bitch about climate crap , then bitch about all the jets flying , forest fires . rocks being used in the war , China burning coal , and so on", 军事china jetsmichael dunn fencrazy people bitch about climate crap  then bitch about all the jets flying  forest fires  rocks being used in the war  china burning coal  and so on,1,1
" 军事,china jets,Cheeku Tripathi,t,en,as India we don’t need to build jets when we can build global influence with words. china makes J-35s we make speeches that fly higher", 军事china jetscheeku tripathitenas india we dont need to build jets when we can build global influence with words china makes js we make speeches that fly higher,1,0
" 军事,china taiwan invasion,Karl Sarkans,f,en,October is one optimal month for the invasion of Taiwan as the sea between China and Taiwan is calmer in this time period.", 军事china taiwan invasionkarl sarkansfenoctober is one optimal month for the invasion of taiwan as the sea between china and taiwan is calmer in this time period,2,0
" 军事,china taiwan invasion,Jim Kessler,f,en,China storyboarding invasion of Taiwan because they know under Trump America will not lift a finger to defend it. @wsj reports", 军事china taiwan invasionjim kesslerfenchina storyboarding invasion of taiwan because they know under trump america will not lift a finger to defend it wsj reports,0,0
" 军事,china taiwan invasion,The Wall Street Journal,t,en,China has been sending officials to Russia to learn how Beijing could blunt Western sanctions in the event of an invasion of Taiwan", 军事china taiwan invasionthe wall street journaltenchina has been sending officials to russia to learn how beijing could blunt western sanctions in the event of an invasion of taiwan,1,0
" 军事,china taiwan invasion,RAF,t,en,China prepares for an invasion of Taiwan", 军事china taiwan invasionraftenchina prepares for an invasion of taiwan,0,0
" 军事,china taiwan invasion,Raul Alonso Gonzalez,f,en,China has been sending officials to Russia to learn how Beijing could blunt Western sanctions in the event of an invasion of Taiwan", 军事china taiwan invasionraul alonso gonzalezfenchina has been sending officials to russia to learn how beijing could blunt western sanctions in the event of an invasion of taiwan,1,0
" 军事,china taiwan invasion,{𝔅ℜ𝔊}GenVii,t,en,Good news, guess any invasion is delayed. Not that China has the capabilities to invade Taiwan. Just be cute ", 军事china taiwan invasion𝔅ℜ𝔊genviitengood news guess any invasion is delayed not that china has the capabilities to invade taiwan just be cute ,0,1
" 军事,china taiwan invasion,Ascetic Virtues,t,en,If you break off Taiwan from China you are going to get a non-communist Chinese invasion of Taiwan at some point.", 军事china taiwan invasionascetic virtuestenif you break off taiwan from china you are going to get a noncommunist chinese invasion of taiwan at some point,0,0
" 军事,china taiwan invasion,Keoni Everington,f,en,Trump picks China hawk Pete Hegseth for defense secretary  Hegseth said US training of Taiwan troops could deter China from invasion", 军事china taiwan invasionkeoni everingtonfentrump picks china hawk pete hegseth for defense secretary  hegseth said us training of taiwan troops could deter china from invasion,1,1
" 军事,china taiwan invasion,bob,f,en,Will Trump hand China  the leadership in the global economy? Will Trump signal to China  that the USA doesn't stand with allies and allow Taiwan invasion?", 军事china taiwan invasionbobfenwill trump hand china  the leadership in the global economy will trump signal to china  that the usa doesnt stand with allies and allow taiwan invasion,1,0
" 军事,china taiwan invasion,Africa's Liberator,t,en,In the event of China invasion of Taiwan, Russia will return the favor.", 军事china taiwan invasionafricas liberatortenin the event of china invasion of taiwan russia will return the favor,1,0
" 军事,china taiwan invasion,Katherine Yon Ebright,f,en,Worth adding that Waltz co-sponsored the Taiwan Invasion Prevention Act, a China AUMF, in the House in 2021.  In the Senate, Rick Scott is the leading sponsor of the China AUMF.", 军事china taiwan invasionkatherine yon ebrightfenworth adding that waltz cosponsored the taiwan invasion prevention act a china aumf in the house in   in the senate rick scott is the leading sponsor of the china aumf,0,2
" 军事,china taiwan invasion,Rick the Tech Dad,t,en,Crazy, AGI and China-&gt;Taiwan invasion both projected for 2027, going to be one hell of a ride", 军事china taiwan invasionrick the tech dadtencrazy agi and chinagttaiwan invasion both projected for  going to be one hell of a ride,1,0
" 军事,china taiwan invasion,Chris Fry,t,en,0% chance of WC2026 happening  Russia's invasion of Ukraine is nothing compared to its invasion of Europe and China takes Taiwan South East Asia Australia Pakistan and India", 军事china taiwan invasionchris fryten chance of wc happening  russias invasion of ukraine is nothing compared to its invasion of europe and china takes taiwan south east asia australia pakistan and india,2,0
" 军事,china taiwan invasion,Antonio Graceffo,t,en,Geopolitical Risks of a PLA Taiwan Blockade. Antonio Graceffo writing for Geopolitical Monitor #Taiwan #China #PRC #PLA #invasion #Blockade", 军事china taiwan invasionantonio graceffotengeopolitical risks of a pla taiwan blockade antonio graceffo writing for geopolitical monitor taiwan china prc pla invasion blockade,0,0
" 军事,china taiwan invasion,Aniline Sudarshini Kawal,f,en,China Launches Taiwan Invasion Plan Before Trump Takes Over? Major Warship, Fighter Jet Action | USA", 军事china taiwan invasionaniline sudarshini kawalfenchina launches taiwan invasion plan before trump takes over major warship fighter jet action  usa,0,0
" 军事,china taiwan invasion,Agorist Nexus,t,en,As they just did a mock invasion of Taiwan  China has no shame  Hopeful for good relations", 军事china taiwan invasionagorist nexustenas they just did a mock invasion of taiwan  china has no shame  hopeful for good relations,0,0
" 军事,china taiwan invasion,Live Monitor,t,en,Well, with Trump winning, that’s put off China invasion of Taiwan until after 2028. What are the Taiwan invasion in 2027 frauds going to say now?", 军事china taiwan invasionlive monitortenwell with trump winning thats put off china invasion of taiwan until after  what are the taiwan invasion in  frauds going to say now,1,0
" 军事,china taiwan invasion,The Florist,f,en,China collapsing. Taiwan invasion imminent.", 军事china taiwan invasionthe floristfenchina collapsing taiwan invasion imminent,1,0
" 军事,china taiwan invasion,Emily Parker,t,en,If I had a dollar for every time someone said China's invasion of Taiwan was imminent, I'd have a dollar.", 军事china taiwan invasionemily parkertenif i had a dollar for every time someone said chinas invasion of taiwan was imminent id have a dollar,0,1
" 军事,china taiwan invasion,Jetplane 10,t,en,China is unravelling even now, China can gain nothing ftom a Taiwan invasion", 军事china taiwan invasionjetplane tenchina is unravelling even now china can gain nothing ftom a taiwan invasion,1,0
" 军事,china taiwan invasion,John Polonis,t,en,This is going to sound insane, but I believe if Trump gets re-elected we’ll get an invasion of Taiwan by China, and these tech guys can kiss their supply of semiconductors goodbye.", 军事china taiwan invasionjohn polonistenthis is going to sound insane but i believe if trump gets reelected well get an invasion of taiwan by china and these tech guys can kiss their supply of semiconductors goodbye,2,2
" 军事,china taiwan invasion,Yanzhong Huang,t,en,Taiwan has produced a movie called “Zero Day” which depicts mainland China’s invasion.", 军事china taiwan invasionyanzhong huangtentaiwan has produced a movie called zero day which depicts mainland chinas invasion,1,1
" 军事,china taiwan invasion,Erin Burnett OutFront,f,en,Art imitating life? Fear of an invasion in Taiwan by China so intense—there’s a TV show all about it. @willripleyCNN reports", 军事china taiwan invasionerin burnett outfrontfenart imitating life fear of an invasion in taiwan by china so intensetheres a tv show all about it willripleycnn reports,0,0
" 军事,china taiwan invasion,The Dutch Investors ,t,en,Our view on the China-risk for $ASML and the consequences of a potential invasion on Taiwan can be read in our latest article! With a touch of second-order thinking here.", 军事china taiwan invasionthe dutch investors tenour view on the chinarisk for asml and the consequences of a potential invasion on taiwan can be read in our latest article with a touch of secondorder thinking here,2,0
" 军事,china taiwan invasion,King Luis XIV,t,en,A botched up withdrawal from Afghanistan  Ukraine invasion of Russia  Burning middle east Return of the missile man Kim China Taiwan tension  Chaos in Bangladesh Report card of @TheDemocrats", 军事china taiwan invasionking luis xivtena botched up withdrawal from afghanistan  ukraine invasion of russia  burning middle east return of the missile man kim china taiwan tension  chaos in bangladesh report card of thedemocrats,1,1
" 军事,china taiwan invasion,Bob Narley,f,en,A Navy SEAL unit that killed Osama bin Laden is busy preparing for a possible Chinese invasion of Taiwan: report #USNavy #Taiwan #China", 军事china taiwan invasionbob narleyfena navy seal unit that killed osama bin laden is busy preparing for a possible chinese invasion of taiwan report usnavy taiwan china,0,2
" 军事,china taiwan invasion,WhiteNoiseHalB,f,en,Taiwan TV Series on China Invasion Raises Anxiety", 军事china taiwan invasionwhitenoisehalbfentaiwan tv series on china invasion raises anxiety,0,0
" 军事,china taiwan invasion,AB,t,en,Are the Taiwan invasion drills over yet? Can I buy China again?! $BABA $JD", 军事china taiwan invasionabtenare the taiwan invasion drills over yet can i buy china again baba jd,0,0
" 军事,china taiwan invasion,Douglas Walton,t,en,I support this Taiwan needs to be ready to repel an invasion from China", 军事china taiwan invasiondouglas waltonteni support this taiwan needs to be ready to repel an invasion from china,2,0
" 军事,china taiwan invasion,Vox Populi,f,en,China that Taiwan Invasion you people are planning please put it down", 军事china taiwan invasionvox populifenchina that taiwan invasion you people are planning please put it down,0,2
" 军事,china taiwan invasion,Koba,f,en,Can't tell whether or not I should support China in the event of an invasion of Taiwan", 军事china taiwan invasionkobafencant tell whether or not i should support china in the event of an invasion of taiwan,2,0
" 军事,south china sea,First Source Report,t,en,China is massing about 83 ships and vessels near Thitu Island, one of the Philippines' key points in the South China Sea. A senior Philippine navy official said: """"No need to worry.""""", 军事south china seafirst source reporttenchina is massing about  ships and vessels near thitu island one of the philippines key points in the south china sea a senior philippine navy official said no need to worry,2,1
" 军事,south china sea,Blue Moon,f,en,i will die either in the middle east or the south china sea i expect no less than a warriors death  alternatively, dying in a hospital bed surrounded by friends and family is fine too", 军事south china seablue moonfeni will die either in the middle east or the south china sea i expect no less than a warriors death  alternatively dying in a hospital bed surrounded by friends and family is fine too,2,2
" 军事,south china sea,Defend The North,f,en,Understanding Indonesia's Gambit With China in the South China Sea", 军事south china seadefend the northfenunderstanding indonesias gambit with china in the south china sea,2,1
" 军事,south china sea,Defend The North,f,en,Oh so China is patrolling its fake claims of all the South East Pacific Sea/South China Sea?!  China's military says it's conducting patrols around disputed shoal in South China Sea", 军事south china seadefend the northfenoh so china is patrolling its fake claims of all the south east pacific seasouth china sea  chinas military says its conducting patrols around disputed shoal in south china sea,0,0
" 军事,south china sea,JohnEarl Morita,f,en,Every chapter and detail of this book is about the fact that the sovereignty of the South China Sea belongs to China!", 军事south china seajohnearl moritafenevery chapter and detail of this book is about the fact that the sovereignty of the south china sea belongs to china,2,1
" 军事,south china sea,Jared Back,f,en,Every chapter and detail of this book is about the fact that the sovereignty of the South China Sea belongs to China!", 军事south china seajared backfenevery chapter and detail of this book is about the fact that the sovereignty of the south china sea belongs to china,2,1
" 军事,south china sea,TimJuan Noguchi,f,en,Every chapter and detail of this book is about the fact that the sovereignty of the South China Sea belongs to China!", 军事south china seatimjuan noguchifenevery chapter and detail of this book is about the fact that the sovereignty of the south china sea belongs to china,2,1
" 军事,south china sea,Runell Wilds,f,en,This is a good book that strongly confirms China's sovereignty over the South China Sea. We need to understand the historical truth, believe in history, and respect history.", 军事south china searunell wildsfenthis is a good book that strongly confirms chinas sovereignty over the south china sea we need to understand the historical truth believe in history and respect history,0,2
" 军事,south china sea,Runell Wilds,f,en,Every chapter and detail of this book is about the fact that the sovereignty of the South China Sea belongs to China!", 军事south china searunell wildsfenevery chapter and detail of this book is about the fact that the sovereignty of the south china sea belongs to china,2,1
" 军事,south china sea,Maggie Chiu,f,en,Beijing conducts 'combat' ready patrols around South China Sea shoal. @mrbcyber @aadilbrar @songpinganq @JamesMelville @IkariTenri @slychristy1 @gundamnorthrop @softwarnet @aricchen", 军事south china seamaggie chiufenbeijing conducts combat ready patrols around south china sea shoal mrbcyber aadilbrar songpinganq jamesmelville ikaritenri slychristy gundamnorthrop softwarnet aricchen,1,1
